,R,T1,T2,T3,T4,T_total
R,1.0,-0.4221329994771214,-0.5282334763928351,-0.34825661800835994,-0.4402923692913269,-0.5891223727615306
T1,-0.42213299947712135,1.0,0.1584047281167966,0.0012236212463261644,0.014181809454090638,0.6130454009171947
T2,-0.5282334763928351,0.1584047281167966,0.9999999999999999,0.6188552457604745,0.8036932262731374,0.7011479800953995
T3,-0.34825661800835994,0.0012236212463261644,0.6188552457604745,1.0,0.5960227374064985,0.739996667883388
T4,-0.440292369291327,0.014181809454090638,0.8036932262731374,0.5960227374064985,1.0,0.5815710841888763
T_total,-0.5891223727615306,0.6130454009171947,0.7011479800953996,0.739996667883388,0.5815710841888763,1.0
